pca-1,pca-2,pca-3,CIHigh,CILow,MOS
39461.281555976515,-2386.850800715903,-12023.367783601207,3.09915415,2.442512516,2.770833333
344064.31788046716,22136.996948820328,46198.86596276601,3.075559963,2.385978499,2.730769231
-178537.7172114406,11070.300380615263,-15281.928159228977,3.394160216,2.89155407,3.142857143
-88873.05276727825,-30960.805138691223,27498.59865367551,2.535804889,2.019750667,2.277777778
11216.352421594522,-23418.286076153378,-19904.38354733592,4.364099225,3.778757918,4.071428571
317597.8308897544,-3485.164519698034,6551.012843514084,2.746840825,2.218676416,2.482758621
-77623.80415645482,8546.810450909808,-33746.927902970885,4.24461591,3.686418572,3.965517241
36943.09035456146,3017.010044151187,-15034.833737702253,2.646890722,2.056812981,2.351851852
305227.3157785169,30128.480711949054,8409.69020203289,3.764962853,3.028140595,3.396551724
-186353.74250343922,17582.125847963474,-12842.859811632754,1.529546306,1.23712036,1.383333333
-182389.0150235474,45316.29406605455,-22849.537328776587,1.868626477,1.476201109,1.672413793
-224695.90033519335,12602.154994222927,33152.34357549744,1.659640274,1.271394209,1.465517241
-196314.94908131627,9595.508776278739,3161.765385310495,3.319639376,2.7838089,3.051724138
-26576.707464700812,-36651.45092160582,-3828.945062518303,4.225768921,3.636300045,3.931034483
240152.04350781903,-53137.78629283694,-3295.738328843483,3.469450144,2.923406999,3.196428571
127680.37018159017,-74465.57785864864,9678.065296166647,4.257197985,3.639353739,3.948275862
-196930.49038238893,7262.109974575355,4406.180802818695,3.107115012,2.596588692,2.851851852
-208652.22729858194,-10399.324023760086,18628.07884687429,3.228121605,2.771878395,3.0
-155985.79360999205,-27251.663447120605,15728.837560404794,3.653463529,3.070674402,3.362068966
-14347.637429979046,13297.012857945741,2132.1441083389373,3.907056989,3.437770597,3.672413793
-5312.977245128328,36831.2829621134,65310.31231060728,1.442300703,1.057699297,1.25
507285.5071790909,-14926.957384404575,-10085.791488242665,3.044920759,2.339694626,2.692307692
330019.0874088996,-2390.3210830348467,3730.501430413099,4.717505416,4.282494584,4.5
7075.798715895016,-32986.12210868922,-2460.141568730054,4.23399043,3.535240339,3.884615385
519840.315767963,-13560.84445009911,-9573.809645648991,4.581469014,3.989959557,4.285714286
-54213.742957601375,53834.4460760689,18474.847840286533,1.387269538,1.079397128,1.233333333
-190899.24390901666,610.2798563106504,1825.2229904365595,3.257015236,2.742984764,3.0
347922.2314522348,-32285.95898476446,-16536.08615006543,4.785550297,4.325560814,4.555555556
-76506.38212192188,-51165.011452663006,11674.953404730404,3.849214939,3.150785061,3.5
11221.217982546012,-23418.306746472197,-19902.25112688586,4.549695967,4.021732605,4.285714286
444428.55588343384,-12702.360080300214,-30147.79783465508,4.119839898,3.472752695,3.796296296
-8572.136847605549,-16777.303415438582,3720.247692908889,2.147725643,1.552274357,1.85
99683.43760109124,-42300.42372682107,14245.53303139772,2.241733096,1.758266904,2.0
-210408.3876641983,-10589.186562057408,18558.332244465546,3.051922047,2.603250367,2.827586207
103837.30728488127,-4252.593833247961,-33681.60574339121,4.592530589,4.157469411,4.375
-178650.87197956795,11062.867833753984,-15292.766710480057,3.348464581,2.85843197,3.103448276
417683.28306202876,16487.85137133219,-6916.163849700356,3.0643401,2.528252492,2.796296296
246964.02876949636,-52399.61725118412,-3015.34199011966,4.586922149,4.190855629,4.388888889
-210255.53414176792,-10573.705386213815,18563.33285136986,2.624756782,2.153020996,2.388888889
176344.4844683758,-1831.1631625814673,41623.89831047299,1.965763382,1.498522332,1.732142857
26676.5513016287,71718.91671086678,4229.97969813035,1.56564417,1.167689163,1.366666667
-209627.37297721836,-10505.760635605415,18585.645417005988,3.060916712,2.639083288,2.85
-209904.49442154268,-10536.717689977932,18576.197263964612,3.16710629,2.73289371,2.95
389387.7181766788,-36882.76969918157,2743.7034035295637,4.766305092,4.305123479,4.535714286
232965.87574050625,-62995.37501995453,13937.367352880106,4.400800178,3.806096374,4.103448276
-111800.11377080964,-4246.227563052395,-17617.129714996838,3.91045444,3.503338664,3.706896552
650895.8927554616,9791.139173857233,-21798.100385055168,4.804087,4.368326794,4.586206897
-177088.98264742046,11232.900392403244,-15229.401396701742,3.324814232,2.847599561,3.086206897
446900.39699384634,-12433.825912071308,-30047.30609616029,4.751477668,4.284236618,4.517857143
216089.48208071635,-23656.942361438825,20048.952872207195,2.986568337,2.293431663,2.64
-111409.41792087012,7566.27302712499,-13194.476860766183,3.388944946,2.921399882,3.155172414
-191644.61798483293,527.326453382673,1790.4020473039598,3.094947531,2.491259366,2.793103448
-177014.21774425724,11238.41100679528,-15221.578181771833,3.373239619,2.937105209,3.155172414
-125529.4762140245,-14861.666654884813,-558.1294203753447,3.772468808,3.193048433,3.482758621
-163813.62765336747,21749.166463269525,-32209.15631909899,3.551922047,3.103250367,3.327586207
-102740.13104542738,-3260.8968369154,-17240.388383105084,3.720526178,3.246140488,3.483333333
-170157.8720019976,-15009.35283363718,24267.12235516306,2.790403103,2.276263564,2.533333333
