fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,CIHigh,CILow,MOS
435792.4334267236,85548.54065771775,20471.538438489217,14374.157935838248,-280.2058310670448,-39364.37307034318,3719.2909475120873,-390.63481110370503,302.8172132448666,-257.7042175313089,1.363997599,1.102669068,1.233333333
-196930.49038238905,7262.109974575366,4406.180802818715,-2973.7771147003295,1557.8801195254746,15573.846834169013,11654.291105016293,703.4718964310871,-172.17550267708089,-40.77919772643653,3.107115012,2.596588692,2.851851852
104026.9541075302,-45195.952669479004,29712.556585773116,445.4723605470805,53158.88612357925,-18008.006136540596,-20423.0688883949,126.26330274330735,-120.0016604200235,29.724734190727713,3.576319397,2.84034727,3.208333333
99947.85623601115,13076.836433398832,63898.76644908673,-50461.55092866763,16799.147829658777,15900.855407634848,-11692.128188458648,-489.3601923962574,189.80979370733291,24.109798646951752,1.284138137,1.015861863,1.15
127653.84283879562,-74467.57207966625,9674.147833917365,3300.630437586947,-1731.6418719079904,2243.533419560304,-14619.475286374443,243.35125047669936,110.45001814959376,104.59666400006466,4.095679394,3.504320606,3.8
519840.3157679633,-13560.844450099035,-9573.809645648975,-2705.9911674563423,2616.5488342048056,10197.113459985503,17831.15173246919,-72.02086521728566,131.7922185124398,27.667315809846176,4.581469014,3.989959557,4.285714286
292511.2337699373,96535.42824215522,24718.941829645133,-3529.7606907590207,74.62619586258258,16752.657640065925,-11140.146262756849,608.2121212751955,-170.6762531871547,-60.787766095478226,1.471686809,0.994979857,1.233333333
-26583.557794877393,-36651.06543421821,-3830.5661554339117,438.72540407946803,-338.62511018582734,-759.818422500394,-7893.891358899566,324.4246300327014,-25.10801630850985,-41.94673974056547,4.329362543,3.770637457,4.05
-172152.5975737771,37771.624759719976,-28242.29965727707,4981.912067223337,-3171.1217401204344,12579.303577309473,147.06855135241045,-472.10399033602096,-259.5132596829511,12.989798891129643,2.137035504,1.690550702,1.913793103
517257.14296162664,-13840.122740007864,-9681.205460205974,-2719.0481330732096,2589.184752365331,10118.118649799539,17523.082547032074,-76.95967723445506,178.03205662739288,25.686807557086485,4.659037443,4.269533986,4.464285714
