fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,CIHigh,CILow,MOS
-190387.4595414203,665.1960614792371,1843.7495985844057,1792.1233377805227,-1105.111349402147,923.7206345796972,-11754.647097311188,376.94841355733104,-162.77129202878797,-6.987017051529026,-9.247605939083895,6.751634219440299,-2.7864461011671717,8.480478765393894,-11.374730008640126,3.249159055,2.784174278,3.016666667
39461.28155597659,-2386.850800715415,-12023.36778360075,-14807.11247939103,-1732.4989812932567,-40039.97942464533,5534.497320894536,408.5692773815264,-286.26502529223905,-62.29483910155244,-18.792488778341934,-27.428693212369772,-1.7111489796339827,2.4330048603151067,16.476605559821714,3.09915415,2.442512516,2.770833333
-186353.742503439,17582.125847963027,-12842.859811632203,-6888.575992448673,-1768.0394627314333,-13880.5842545474,-5831.029140737098,365.3723178175359,804.2978436182087,-124.97501217981262,22.298462243389274,38.11925002586221,-8.583506472803329,-34.19452618803502,-24.401560929158812,1.529546306,1.23712036,1.383333333
-208889.8106872934,-10423.582690035408,18617.653682086602,5631.350897984986,-811.4602819866923,-517.514399356968,-16578.6441082999,303.23312287908914,-126.75817804614641,-17.649713827848913,2.212773751554046,8.28590875680735,-5.659339704073122,7.532160089988945,-5.820898725179169,3.24043084,2.828534677,3.034482759
-56563.329332473244,26534.509733066756,29185.67639247783,14663.104679991902,2252.0243166514556,31809.277535132147,9714.003747102532,747.8210618145512,308.4371313100236,-48.80021616735309,-296.73667125339574,8.919095813403903,-24.586415564884422,-26.356650789784652,-27.793094017065894,1.400678788,1.15104535,1.275862069
-42560.93726866816,-17115.22424664176,9567.332444192418,-1471.2005487710344,-36337.38242754158,14297.313313970773,11842.38321263252,-246.01546254698187,-131.62018843832954,-41.15683613843703,59.86589610744351,7.933220441945291,-6.131089559070526,-6.914932282242481,18.874505475983955,2.55951845,1.976195836,2.267857143
-96939.31772145322,20225.548858060727,-25415.291051914624,-7637.818170149616,-24937.639681804398,12734.038978059405,8601.381425464917,-303.92520055214897,-71.65183882475598,28.301501616943398,-37.52107517911917,9.2121417190351,20.61413164777669,2.1921198488238045,8.179323608861287,3.809449298,3.362964496,3.586206897
-172152.59757377664,37771.62475971999,-28242.29965727529,4981.9120672242325,3171.1217401205295,-12579.303577309014,-147.068551354737,472.10399029894785,-259.51325965455,12.989799040839287,-10.149301971253875,-40.55607963458227,9.355560915829889,-7.0033577781728455,40.19072084683983,2.137035504,1.690550702,1.913793103
-26583.5577948773,-36651.065434217744,-3830.5661554341664,438.72540407945087,338.6251101858378,759.8184224999313,7893.891358902315,-324.424629999269,-25.108016328225187,-41.94673970158003,11.026587430190645,6.2577890025149,-0.515402325186687,-12.512625939428506,3.088861923770731,4.329362543,3.770637457,4.05
-178650.8719795676,11062.867833753806,-15292.766710479253,-2099.096699344621,-1327.0400452688705,2585.581610963563,-6075.260097747012,-533.9472399825305,-119.90762391690275,1.026613199260792,29.55154213199281,14.103338957099693,5.87335895931059,5.903912263935451,-14.218896526814968,3.348464581,2.85843197,3.103448276
-178608.71097964683,11062.66345578436,-15284.681606687323,-2097.1358900191817,-1327.5456114847768,2583.9536932972605,-6084.385032158403,-531.2696258685737,-233.41025979594346,9.17063493214153,-9.635572452938563,14.663916570851931,5.614925921079424,6.107481014881061,-11.97201161659396,3.430356437,3.002976896,3.216666667
