fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,CIHigh,CILow,MOS
52139.936796535585,-9887.385123787402,-35769.55001414458,-7059.316898387991,-690.7202763211999,2377.961987409567,12627.966801172975,-275.20756701880714,-42.89203817827571,-34.00780151029754,11.94358121021444,0.4605684597894902,12.280958103362206,-7.314585169148876,-3.5806487512661085,7.387276988339034,4.655644914,4.137458535,4.396551724
330019.0874088996,-2390.32108303541,3730.5014304141123,-6352.709710334934,-55747.337954612995,15132.127615672278,7696.058785712162,-419.25415079951216,-204.7322714105114,8.418966774207579,-23.138417100481423,-28.976058535814072,-0.4600977943741938,4.137727751667442,21.560823842628977,5.0185645455237005,4.717505416,4.282494584,4.5
11216.352421594613,-23418.28607615319,-19904.383547334724,-3326.8899592737016,-159.75319865798554,1621.3306183993575,10462.343616715629,-295.4767198705772,-51.22027230048066,-36.96047658159741,-7.379816770273842,0.8976387574294752,5.912139681378495,-9.829333367553323,-0.0961455235353205,3.0574870893025885,4.364099225,3.778757918,4.071428571
9555.796908238915,-23600.724802687673,-19966.818868024406,-3333.919635185224,-142.07985766099875,1671.2436655699357,10658.28589566695,-293.31063179500126,17.40438467381707,-43.29502101021857,-8.062355116864392,2.5863365081500964,6.584745749790083,-9.3591324528832,0.4008577715416784,1.9055228621493088,3.431346944,2.747224484,3.089285714
435792.43342672393,85548.54065771638,20471.53843849073,14374.157935839103,280.2058310667411,39364.37307034161,-3719.290947507628,390.63481108633755,302.8172133582337,-257.7042170313514,53.87455773214296,81.07757826438299,-19.76235677643747,-76.4305028869873,25.52020980032437,-3.704086814141467,1.363997599,1.102669068,1.233333333
-102559.46708534396,-3239.487211698198,-17240.127911682834,-2545.7015760439767,-900.2663419025162,2439.497711488805,882.9946881068964,568.3023886453255,-115.8165408857496,11.456193674587409,53.284106532309295,15.250998019121452,1.85318109857208,1.822429669460804,-7.047652995450086,1.4162843516990948,3.857237033,3.384142278,3.620689655
216089.48208071644,-23656.942361439906,20048.952872207003,-33869.24849749343,38890.54361874701,23529.523560839898,4136.7462435401685,-372.51119375203865,26.86307515014922,57.657859277282085,38.77096861705602,7.745288539442889,8.539323122217327,-5.786162892614,9.033472101506822,-9.763317020896736,2.986568337,2.293431663,2.64
-196314.94908131598,9595.508776277948,3161.7653853085485,17493.76074966705,4146.381794015106,833.4866999164726,-10676.259158493282,-607.6863165626203,-228.03863888972975,23.8562633352879,-23.09290617572469,-14.759624405210218,1.5224829278092316,8.520770926751254,9.268632260998173,-18.457039610866186,3.319639376,2.7838089,3.051724138
99227.65415197522,-4755.525827243187,-33862.49421533329,-6835.916160388139,-1189.5456986259253,935.8738712843369,7030.301689272278,609.4672945017377,138.35032382177238,-64.34715878896984,-7.55329953253752,-12.157825287750773,11.222043585247237,-0.7509047873330079,-4.7889815816712895,-4.024539211103041,4.386792309,3.909503987,4.148148148
344064.3178804672,22136.996948818713,46198.86596276805,-36004.34865211584,-17609.995609036203,39153.562835178986,-8098.2199239974025,394.54886482813293,-434.3976439253544,-80.65005282634066,42.20017104920552,-51.135453583098524,-7.420633604607619,10.302442434621984,37.271416018989406,7.884802340949245,3.075559963,2.385978499,2.730769231
-48589.140470190294,-48122.913162874436,12805.278004868776,4261.973145525493,668.7992030794302,-578.9998940271072,3466.4788485305835,610.4194372221633,-43.993353459856145,-46.764780274580616,13.365235267362225,4.8526273983386785,-7.1847168310762495,-9.390005892220344,7.838120042658694,-6.67420780782473,3.799760206,3.165757036,3.482758621
-166880.55042359012,30994.275163914645,-30775.68262241337,9759.988005768695,3638.3243674520327,3951.8807625749196,-112.26104296584067,554.1667178046175,-183.44116162552595,39.91476288045132,-13.6808460221456,-22.043396507835574,11.93438280949206,16.674211462571954,5.2172615970299,-21.661481394434215,3.523768328,2.976231672,3.25
