fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,fe-20,fe-21,fe-22,fe-23,fe-24,fe-25,CIHigh,CILow,MOS
-208656.10983661853,-10399.087565069483,18626.08882136658,5632.565155430391,-814.0445660093401,-524.1586296290459,-16607.51964649731,305.51084868767583,-240.4247540654768,-7.818744422303737,-9.84042142911408,12.025059086529588,-6.193976368648685,6.581828422085813,-4.925534883432869,-7.393495775992676,-0.477329503287975,0.013568980982785032,-1.826302866986631,-1.766751849886065,-1.8166823628961561,7.054496968652235,1.390125014983476,-0.683591315182376,-0.12457583689590168,3.109396031,2.640603969,2.875
246964.02876949648,-52399.61725118445,-3015.341990118865,-58.39018601238548,370.92783994985945,-3879.716124956403,7490.172924951606,-407.1442614338732,158.7003097724294,81.57322261934672,-17.72962799273628,7.782365304328888,-10.773471891464817,-5.429403292436074,-5.346116509728693,-6.853459513396577,-2.4056318823401055,-6.417690516782072,1.0300119804191668,5.56667251718248,2.9885574603132556,3.305358940834877,3.8260698741674632,-0.2418863048560849,-1.9583101968477656,4.586922149,4.190855629,4.388888889
102995.09709901223,-4346.599785653927,-33710.42896957739,-6817.721536319859,-1229.5585895470554,821.3302906853194,6582.007430683448,603.7399894060067,12.769232326218685,-51.51186758345099,9.856188624251795,-8.825302538416633,12.207246230079491,-0.20590689941413115,-2.6650773793180784,2.7802922643099413,5.550647518209113,3.3635339414824763,-1.98820135501527,1.0274999790750627,-3.0274396536369492,-1.8191891465637584,-3.949843469206443,1.5754367896838695,-2.4060731935041337,3.658971212,3.055314503,3.357142857
-126571.562891848,21905.74177552861,1497.0751847929594,-18507.148546626267,-7891.283239724334,23158.037151553053,2067.5690766957555,-362.58430559132205,-287.55221198458906,58.06556913757191,18.715083660719642,-13.325620149678713,-8.601402262413764,-3.1977224373930047,13.096922959945655,23.81151421437819,13.073192059178265,1.6531879173001838,6.809505502857857,4.8901925963686885,-36.67326111114459,-9.974926560001604,-9.670578603948405,15.690150994837527,2.6706940131578016,3.665622055,3.092998635,3.379310345
-190387.45954142034,665.1960614792355,1843.7495985844132,1792.1233377805215,-1105.1113494021427,923.7206345796756,-11754.647097311085,376.94841356053627,-162.77129202697412,-6.987017054979411,-9.247605905843914,6.751634217459989,-2.786446096438378,8.480478742559734,-11.374730134428042,-6.354924752772105,2.6378731091867444,1.9301323725063413,-0.20741535234841288,-2.8802683461244,0.4009235374182052,9.643660029592482,1.2529513854514842,0.26447178351534834,-2.0307530250430172,3.249159055,2.784174278,3.016666667
39461.281555976595,-2386.8508007154132,-12023.3677836008,-14807.112479391013,-1732.4989812932447,-40039.97942464451,5534.497320894491,408.5692773850009,-286.2650252890487,-62.294839132320774,-18.79248871079307,-27.42869320432166,-1.7111489767297687,2.4330048537648534,16.476605742023512,10.584550049760436,3.9967143440291446,5.297877807333875,-0.515230539717671,-1.471630516030073,-11.027685164402017,-7.105107452621858,-18.314436284832478,5.145023450839134,7.15879081320762,3.09915415,2.442512516,2.770833333
-186353.74250343902,17582.125847963012,-12842.859811632257,-6888.575992448664,-1768.039462731422,-13880.584254547117,-5831.029140737045,365.3723178206415,804.2978436092474,-124.97501224153564,22.298462163238426,38.1192500146832,-8.58350645823673,-34.19452609596392,-24.40156119900545,16.640800735842223,-28.303964452534675,32.13789265068796,16.05626911266212,-24.15981682380087,25.655207925421923,-28.44868513813139,38.223801629912394,-42.68039103693052,7.073078724368263,1.529546306,1.23712036,1.383333333
-208889.81068729341,-10423.582690035402,18617.65368208668,5631.350897984981,-811.4602819866934,-517.5143993569586,-16578.644108299755,303.23312288166693,-126.7581780447334,-17.64971383656492,2.212773743600213,8.285908754378497,-5.65933969446882,7.532160069708361,-5.8208987895493065,-8.28900058863671,3.0742614253316187,-0.02016083689855354,-2.8823598587435715,-2.2456401800942802,-0.11470383826046658,8.500823340421762,2.781287264858971,-4.19840804591555,-0.6212703761576588,3.24043084,2.828534677,3.034482759
-56563.32933247326,26534.509733066734,29185.67639247795,14663.104679991888,2252.0243166514397,31809.277535131492,9714.003747102443,747.8210618209116,308.4371313065867,-48.80021619145812,-296.73667018679015,8.919095810782464,-24.586415523158806,-26.356650718817363,-27.79309432442715,34.200322722222516,-25.207047360936386,-15.263389292271043,-17.932268062677675,-54.062865376520904,-3.0946391670012567,-20.924591040920735,-41.99656375043112,-19.010034957994517,5.200581871651278,1.400678788,1.15104535,1.275862069
-42560.93726866817,-17115.22424664175,9567.332444192458,-1471.200548771042,-36337.38242754146,14297.313313970471,11842.38321263241,-246.01546254907188,-131.62018843686434,-41.1568361587669,59.86589589225854,7.933220439610902,-6.1310895486652575,-6.914932263624146,18.874505684706985,11.833752073547386,-3.876590264821205,2.398230848692087,-2.9618043473971936,0.677938441971761,-11.34341099683125,-4.511127461817463,-6.175547257100657,-5.989156177004344,5.032291269216173,2.55951845,1.976195836,2.267857143
-96939.31772145323,20225.548858060716,-25415.29105191473,-7637.818170149618,-24937.639681804307,12734.038978059138,8601.381425464835,-303.92520055473005,-71.65183882396018,28.30150163091842,-37.52107504425167,9.212141716320753,20.614131612793337,2.192119842920404,8.179323699309792,-13.10015025435783,-15.626022479195168,5.791756078781482,13.15817586256031,-0.9712729263945195,-40.36423412264437,11.72936978994535,-17.45960846078407,-5.8677179256502665,-18.359120759788308,3.809449298,3.362964496,3.586206897
-172152.59757377667,37771.62475971997,-28242.299657275402,4981.912067224229,3171.121740120523,-12579.303577308756,-147.06855135473498,472.10399030296236,-259.5132596516576,12.989799047253232,-10.149301934772144,-40.55607962268142,9.355560899952588,-7.003357759315495,40.19072129129488,2.8598772944794044,-32.082653305274846,7.245389503663434,-8.84773500030788,-7.099520496411351,26.633834299649376,-22.026996871309496,-4.548038416339992,17.400678044341973,1.2287977354094346,2.137035504,1.690550702,1.913793103
-26583.557794877306,-36651.065434217715,-3830.5661554341823,438.7254040794504,338.625110185834,759.8184224999171,7893.891358902244,-324.4246300020277,-25.108016327945407,-41.946739722297785,11.0265873905561,6.257789000678154,-0.515402324311972,-12.512625905737657,3.088861957929105,1.5278919075906061,-2.686641172212529,-2.0078351906444882,-1.1477765061494516,4.207317609225997,-1.7746607083973174,-4.259643586019315,-0.8305334612997305,-0.7015958102361495,2.118866424413863,4.329362543,3.770637457,4.05
-178650.87197956763,11062.867833753797,-15292.766710479314,-2099.0966993446186,-1327.0400452688623,2585.581610963507,-6075.260097746958,-533.9472399870709,-119.90762391556693,1.0266131997674695,29.5515420257712,14.103338952959914,5.873358949342967,5.903912248038466,-14.218896684054927,4.626974273951273,6.140794371089294,-2.708073314588772,-0.2933208431938608,-2.078914362729901,6.212099836548985,4.112306924139942,3.6673508187249775,-7.615737306007345,2.068196309709626,3.348464581,2.85843197,3.103448276
-178608.71097964686,11062.663455784354,-15284.681606687385,-2097.135890019179,-1327.5456114847696,2583.9536932972055,-6084.3850321583495,-531.2696258730914,-233.410259793343,9.170634936670409,-9.635572418304044,14.663916566547023,5.614925911550413,6.1074809984358955,-11.972011748986496,3.346679564779398,1.211789701387398,-2.2858277375137814,3.375161560688362,1.0407072458995774,3.404517425307445,4.090369720285347,2.9928338650869386,-3.606252265253042,2.526528247645274,3.430356437,3.002976896,3.216666667
-169722.0345583165,-13433.49073974826,17659.610353132008,30159.94897278622,8302.286396112764,32.459196883206374,-4641.716924840089,-504.7055503995511,-264.18882994896944,36.938042564638074,-7.428357503580561,-15.064522166544513,-1.9657193943127218,0.6039283563681594,11.87459699840892,-15.247482796982453,-19.37192400315819,-11.372567628198253,-9.065496201166798,5.110124915281265,11.802954865095787,-16.298056152348884,-5.015626784298457,6.556502396846268,10.046416777565145,3.12457995,2.57542005,2.85
-26576.707464700736,-36651.45092160529,-3828.9450625180357,439.1611558314012,338.5175396430888,759.5435675291945,7892.070411739797,-323.5797512032908,-59.1512542470005,-37.16111908612782,42.45581947061696,15.022663661608922,-1.0152222777751627,-14.30853391808723,3.1477351870460115,5.038030812217627,-3.0339633032207867,-3.8247646148187457,-3.022938077988538,-0.5973239839761926,-1.6407069148718358,-5.291683417848216,-2.5098317693053156,0.32478702999749026,3.8842749312920075,4.225768921,3.636300045,3.931034483
