fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,CIHigh,CILow,MOS
-102559.46708534396,-3239.487211698202,-17240.127911682812,-2545.701576043971,-900.2663419025108,2439.4977114888084,882.9946881069264,568.3023886399417,-115.81654088885034,11.456193679397247,53.28410657725756,15.250998037156469,1.8531810827690145,1.8224296732511132,-7.0476530116118035,1.4162843325970345,5.861717508598728,3.857237033,3.384142278,3.620689655
216089.48208071644,-23656.942361439917,20048.952872206977,-33869.24849749337,38890.543618746684,23529.52356083992,4136.746243540309,-372.51119374851066,26.86307515086806,57.657859301493225,38.77096864976157,7.745288548601244,8.539323049398233,-5.786162904648708,9.033472122223717,-9.763316889204347,-32.28030757835875,2.986568337,2.293431663,2.64
-196314.94908131598,9595.508776277955,3161.765385308543,17493.760749667017,4146.381794015072,833.4866999164733,-10676.25915849365,-607.6863165568623,-228.03863889583593,23.856263345305177,-23.092906195204908,-14.759624422663144,1.5224829148261796,8.52077094447349,9.268632282256451,-18.457039361906087,-20.85106675059715,3.319639376,2.7838089,3.051724138
99227.65415197524,-4755.525827243194,-33862.494215333245,-6835.916160388125,-1189.5456986259185,935.8738712843399,7030.301689272521,609.4672944959631,138.3503238254771,-64.347158815989,-7.5532995389092,-12.157825302127556,11.222043489551195,-0.7509047888948281,-4.78898159265391,-4.024539156819995,6.100150232110825,4.386792309,3.909503987,4.148148148
344064.3178804672,22136.996948818727,46198.865962767995,-36004.348652115776,-17609.995609036047,39153.56283517904,-8098.219923997684,394.54886482439747,-434.3976439369852,-80.65005286020674,42.2001710848038,-51.13545364356586,-7.420633541328203,10.302442456050159,37.27141610446526,7.884802234602474,8.228667756431465,3.075559963,2.385978499,2.730769231
-48589.140470190294,-48122.91316287447,12805.27800486876,4261.973145525482,668.7992030794273,-578.9998940271086,3466.4788485307026,610.4194372163772,-43.99335346103424,-46.76478029421574,13.365235278636513,4.852627404075794,-7.1847167698084435,-9.39000591175054,7.8381200606330665,-6.674207717802843,-2.117909071303206,3.799760206,3.165757036,3.482758621
-166880.55042359012,30994.275163914663,-30775.682622413333,9759.988005768677,3638.324367451999,3951.8807625749237,-112.26104296584528,554.1667177993681,-183.4411616304375,39.91476289721079,-13.680846033686196,-22.043396533900957,11.934382707721415,16.67421149725256,5.21726160899785,-21.661481102250896,-14.83850212430851,3.523768328,2.976231672,3.25
-184052.13990181385,19156.95157361589,-9777.27275228254,-2871.8654300375174,-16308.653475035495,8076.325763280092,-4610.203023846994,-505.3823183829459,-143.59977273422447,-10.097378557239352,-8.248002406264419,14.303307032205549,-0.9701795606875215,-6.599778454196539,4.583223226496178,6.370959889444527,-3.723352541476163,3.28166657,2.785000097,3.033333333
-170157.87200199743,-15009.352833638819,24267.12235516187,3818.473246656473,-23867.42996874447,8942.57640137241,-3805.393922528573,-479.7599776203523,-147.18345802041117,16.79502681149799,-1.7739013260105667,0.8064359054521485,-12.859875222565853,-1.6589039940499064,9.037074277872446,-1.4049218258894773,-1.1440856231825853,2.790403103,2.276263564,2.533333333
-182389.01502354728,45316.29406605405,-22849.537328774863,4182.857420048193,-11739.308752691044,-6948.1618669145355,2120.7380121334736,-502.04358009109444,478.63658057221994,139.21542058313037,-21.077030882322063,29.93155365242927,13.509057422335262,-25.618147083277822,41.321912412691695,-30.814297270498862,-67.61307677847763,1.868626477,1.476201109,1.672413793
