fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,fe-18,fe-19,CIHigh,CILow,MOS
-78041.96969912767,8500.943727850206,-33760.37683867965,-6354.432048003924,-1257.3884957062996,3695.5943222295127,4991.557092448383,624.4744194043861,-16.42870410809295,5.118838382961804,-20.28579086560801,-8.6727222196718,8.689324036244258,9.846803113189733,-11.432395376507571,-5.714401040437461,9.814085134937066,1.5003673337544279,2.679118510337583,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.76969918212,2743.70340352947,617.602682057218,-1137.4002894425612,-8230.064661035814,-9411.703603528429,260.1661174532489,129.57780062505708,50.38787812228911,11.28343262937919,1.7831588561820433,-8.229959284141028,2.8307868675898504,-4.612609373352561,-4.315443685673282,0.6213579201573955,-2.8228708003224625,-4.633075026239918,4.766305092,4.305123479,4.535714286
417683.28306202835,16487.85137133102,-6916.163849700218,-40782.24172460929,36560.347419327714,21398.048467172488,-5700.180107221111,-606.5724114756857,-136.2146130422487,43.043752969429065,13.201917287816858,-3.3764154309319765,-3.734955712499931,5.707655380602569,-4.979619286927064,6.4286108167308065,-11.408643699978716,15.66104880276668,-12.126556523405645,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.087565069514,18626.088821366528,5632.565155430418,-814.0445660093459,-524.1586296290546,-16607.51964649728,305.51084868671444,-240.4247540651811,-7.818744416928913,-9.84042142942911,12.025059093835946,-6.193976377936297,6.581828436117425,-4.925534825178085,-7.393495797502987,-0.4773295049807621,0.013568981042594484,-1.826302876101164,3.109396031,2.640603969,2.875
246964.02876949642,-52399.61725118459,-3015.3419901188545,-58.390186012386444,370.92783994986,-3879.7161249564588,7490.172924951593,-407.14426143258953,158.7003097722343,81.57322256326327,-17.729627993304238,7.782365309057625,-10.773471907619436,-5.429403304011126,-5.3461164464998525,-6.85345953333706,-2.4056318908753465,-6.417690543312926,1.0300119855564882,4.586922149,4.190855629,4.388888889
102995.09709901222,-4346.599785653933,-33710.4289695773,-6817.72153631989,-1229.5585895470615,821.3302906853306,6582.007430683437,603.7399894041031,12.769232326203024,-51.51186754803518,9.856188624567459,-8.82530254377861,12.20724624838399,-0.2059068998530474,-2.665077347796415,2.7802922723992523,5.55064753790211,3.363533955385727,-1.9882013649378878,3.658971212,3.055314503,3.357142857
-126571.562891848,21905.741775528666,1497.0751847929532,-18507.14854662635,-7891.283239724377,23158.03715155339,2067.569076695753,-362.58430559018404,-287.552211984235,58.06556909765289,18.715083661318882,-13.325620157769515,-8.601402275312095,-3.1977224442094396,13.09692280504877,23.811514283648254,13.073192105559086,1.6531879241186305,6.809505536835725,3.665622055,3.092998635,3.379310345
-190387.4595414203,665.1960614792367,1843.7495985844084,1792.12333778053,-1105.1113494021492,923.720634579689,-11754.647097311064,376.9484135593489,-162.7712920267739,-6.9870170501760365,-9.247605906140112,6.75163422156253,-2.786446100616553,8.480478760639288,-11.374729999896491,-6.354924771260256,2.6378731185459197,1.9301323804859447,-0.20741535338219386,3.249159055,2.784174278,3.016666667
39461.28155597659,-2386.85080071542,-12023.367783600765,-14807.112479391082,-1732.498981293262,-40039.9794246451,5534.497320894479,408.5692773837135,-286.26502528869673,-62.294839089491184,-18.79248871139525,-27.428693220990148,-1.7111489792955845,2.4330048589513105,16.476605547152403,10.584550080555644,3.9967143582106632,5.297877829246516,-0.5152305422915285,3.09915415,2.442512516,2.770833333
-186353.742503439,17582.12584796306,-12842.859811632221,-6888.575992448695,-1768.039462731435,-13880.584254547322,-5831.029140737036,365.3723178194924,804.2978436082577,-124.97501215561489,22.298462163952955,38.119250037843976,-8.583506471107354,-34.194526168864215,-24.401560910404434,16.640800784262588,-28.303964552952355,32.13789278353127,16.056269192813897,1.529546306,1.23712036,1.383333333
-208889.8106872934,-10423.582690035431,18617.653682086628,5631.350897985007,-811.4602819866977,-517.5143993569673,-16578.644108299726,303.2331228807129,-126.75817804457755,-17.649713824431267,2.212773743671412,8.285908759411955,-5.659339702954709,7.532160085765965,-5.82089872070505,-8.289000612752222,3.0742614362392287,-0.020160836978583476,-2.882359873127907,3.24043084,2.828534677,3.034482759
-56563.329332473244,26534.5097330668,29185.676392477868,14663.104679991955,2252.024316651459,31809.27753513196,9714.003747102426,747.8210618185543,308.43713130620733,-48.80021615790514,-296.7366701962983,8.919095816207028,-24.586415560026254,-26.3566507750083,-27.793093995706272,34.2003228217272,-25.207047450365714,-15.263389355321928,-17.932268152151003,1.400678788,1.15104535,1.275862069
